Track_id,Artist,Title,Album,Genre,Style,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Time,Key,Camelot,Spotify_key,Spotify_mode,spotify_id,Cluster
917960_B2,Le Peuple De L'Herbe,Keep Rockin,Cube,"Electronic, Hip Hop","Drum n Bass, Dub, Breakbeat",11,0.638,0.803,-5.143,0.0482,0.000378,0.852,0.362,0.504,166.004,4.0,5:03,C♯/D♭ Major,3B,1.0,1.0,7C99aCiG3q7OsHOictB46y,4.0
917960_C1,Le Peuple De L'Herbe,El Paso,Cube,"Electronic, Hip Hop","Drum n Bass, Dub, Breakbeat",2,0.697,0.805,-6.686,0.0605,0.0423,2.76e-05,0.963,0.543,100.002,4.0,5:19,D Major,10B,2.0,1.0,1S2ZKdgB6XBJE2mdZQfkh1,3.0
917960_C3,Le Peuple De L'Herbe,Down by Law,Cube,"Electronic, Hip Hop","Drum n Bass, Dub, Breakbeat",6,0.809,0.659,-7.033,0.0478,0.0144,0.771,0.684,0.591,100.017,4.0,5:19,C♯/D♭ Major,3B,1.0,1.0,0zqR0twOiBLgXFs0JbYq1d,3.0
917960_D1,Le Peuple De L'Herbe,La Musique Electronique,Cube,"Electronic, Hip Hop","Drum n Bass, Dub, Breakbeat",5,0.824,0.761,-5.756,0.0457,0.000282,0.799,0.134,0.661,130.018,4.0,4:18,C♯/D♭ Major,3B,1.0,1.0,3jnDNDcexPtV1wkIT9FYLc,1.0
917960_D2,Le Peuple De L'Herbe,Honesty,Cube,"Electronic, Hip Hop","Drum n Bass, Dub, Breakbeat",20,0.808,0.654,-7.314,0.136,0.0934,3.28e-05,0.13,0.695,88.673,4.0,3:14,G Major,9B,7.0,1.0,5Ib5cAxwZluFyk6HqeMEvP,3.0
917960_D3,Le Peuple De L'Herbe,Gumzilla,Cube,"Electronic, Hip Hop","Drum n Bass, Dub, Breakbeat",4,0.687,0.791,-4.88,0.0386,0.00472,0.334,0.183,0.32,95.184,4.0,5:05,C♯/D♭ Major,3B,1.0,1.0,29SNmZsDVaM2cWv7USJlRN,6.0
5516756_A1,Gene Chandler,Get Down,Get Down,Funk / Soul,"Soul, Disco",23,0.797,0.565,-12.02,0.101,0.288,0.0176,0.612,0.746,114.397,4.0,3:35,G Major,9B,7.0,1.0,165zEDUBYwXS8mBDIOroXP,2.0
5516756_A2,Gene Chandler,Please Sunrise,Get Down,Funk / Soul,"Soul, Disco",0,0.339,0.421,-13.764,0.0315,0.426,1.1e-05,0.0933,0.451,142.984,4.0,5:48,C♯/D♭ Major,3B,1.0,1.0,4kI2q18SAyZcGYu4bUe6r2,7.0
5516756_A3,Gene Chandler,Tomorrow I May Not Feel The Same,Get Down,Funk / Soul,"Soul, Disco",0,0.536,0.38,-14.631,0.0386,0.146,6.41e-06,0.473,0.801,79.334,4.0,3:49,B Minor,10A,11.0,0.0,4eemHBwn2jnZ8ZdDNEm35d,2.0
5516756_B2,Gene Chandler,Greatest Love Ever Known,Get Down,Funk / Soul,"Soul, Disco",0,0.568,0.657,-10.515,0.0418,0.194,1.71e-05,0.275,0.735,91.395,4.0,3:28,E Major,12B,4.0,1.0,4KOkiPmWDe4Fhr5GarBBBV,2.0
5516756_B4,Gene Chandler,What Now,Get Down,Funk / Soul,"Soul, Disco",1,0.618,0.544,-11.519,0.049,0.435,2.04e-05,0.171,0.722,92.323,3.0,2:52,G Minor,6A,7.0,0.0,4KrW0sheyZQljHgHGUxXQn,2.0
5516756_B5,Gene Chandler,Lovequake,Get Down,Funk / Soul,"Soul, Disco",0,0.707,0.597,-11.584,0.0587,0.402,0.0144,0.116,0.707,131.362,4.0,4:50,F Major,7B,5.0,1.0,35SnVd0ieFS3LM6rMlnB5e,2.0
