album_id,artist,album,track_id,title
7685872,Dr. Dre,Compton (A Soundtrack By Dr. Dre),7685872_B8,Issues
7685872,Dr. Dre,Compton (A Soundtrack By Dr. Dre),7685872_C9,Deep Water
7685872,Dr. Dre,Compton (A Soundtrack By Dr. Dre),7685872_C10,One Shot One Kill
7685872,Dr. Dre,Compton (A Soundtrack By Dr. Dre),7685872_C11,Just Another Day
7685872,Dr. Dre,Compton (A Soundtrack By Dr. Dre),7685872_C12,For The Love Of Money
7685872,Dr. Dre,Compton (A Soundtrack By Dr. Dre),7685872_D13,Satisfiction
7685872,Dr. Dre,Compton (A Soundtrack By Dr. Dre),7685872_D14,Animals
7685872,Dr. Dre,Compton (A Soundtrack By Dr. Dre),7685872_D15,Medicine Man
7685872,Dr. Dre,Compton (A Soundtrack By Dr. Dre),7685872_D16,Talking To My Diary
2955328,Dr. Dre,2001,2955328_A1,Lolo (Intro)
2955328,Dr. Dre,2001,2955328_A2,The Watcher
2955328,Dr. Dre,2001,2955328_A3,Fuck You
2955328,Dr. Dre,2001,2955328_A4,Still D.R.E.
2955328,Dr. Dre,2001,2955328_B1,Xxplosive
2955328,Dr. Dre,2001,2955328_B3,Bar One
2955328,Dr. Dre,2001,2955328_B4,Light Speed
2955328,Dr. Dre,2001,2955328_B5,Forgot About Dre
2955328,Dr. Dre,2001,2955328_B6,The Next Episode
2955328,Dr. Dre,2001,2955328_C2,Bitch Niggaz
2955328,Dr. Dre,2001,2955328_C3,The Car Bomb
2955328,Dr. Dre,2001,2955328_C4,Murder Ink.
2955328,Dr. Dre,2001,2955328_C5,Ed-Ucation
2955328,Dr. Dre,2001,2955328_C6,Some L.A. Niggaz
2955328,Dr. Dre,2001,2955328_C7,Pause 4 Porno
2955328,Dr. Dre,2001,2955328_D1,Housewife
2955328,Dr. Dre,2001,2955328_D2,Ackrite
2955328,Dr. Dre,2001,2955328_D3,Bang Bang
2955328,Dr. Dre,2001,2955328_D4,The Message
5215304,Eminem,The Slim Shady LP,5215304_A1,Public Service Announcement
5215304,Eminem,The Slim Shady LP,5215304_A2,My Name Is
5215304,Eminem,The Slim Shady LP,5215304_A3,Guilty Conscience
5215304,Eminem,The Slim Shady LP,5215304_A4,Brain Damage
5215304,Eminem,The Slim Shady LP,5215304_A5,Paul
5215304,Eminem,The Slim Shady LP,5215304_B6,If I Had
5215304,Eminem,The Slim Shady LP,5215304_B8,Bitch
5215304,Eminem,The Slim Shady LP,5215304_B9,Role Model
5215304,Eminem,The Slim Shady LP,5215304_B10,Lounge
5215304,Eminem,The Slim Shady LP,5215304_B11,My Fault
5215304,Eminem,The Slim Shady LP,5215304_C12,Ken Kaniff
5215304,Eminem,The Slim Shady LP,5215304_C13,Cum On Everybody
5215304,Eminem,The Slim Shady LP,5215304_C14,Rock Bottom
5215304,Eminem,The Slim Shady LP,5215304_D16,Soap
5215304,Eminem,The Slim Shady LP,5215304_D17,As The World Turns
5215304,Eminem,The Slim Shady LP,5215304_D19,Bad Meets Evil
5252470,Eminem,The Marshall Mathers LP,5252470_A1,Public Service Announcement 2000
5252470,Eminem,The Marshall Mathers LP,5252470_A2,Kill You
5252470,Eminem,The Marshall Mathers LP,5252470_A3,Stan
5252470,Eminem,The Marshall Mathers LP,5252470_A4,Paul (Skit)
5252470,Eminem,The Marshall Mathers LP,5252470_A5,Who Knew
5252470,Eminem,The Marshall Mathers LP,5252470_A6,Steve Berman
5252470,Eminem,The Marshall Mathers LP,5252470_B1,The Way I Am
5252470,Eminem,The Marshall Mathers LP,5252470_B2,The Real Slim Shady
5252470,Eminem,The Marshall Mathers LP,5252470_B3,Remember Me?
5252470,Eminem,The Marshall Mathers LP,5252470_C1,Marshall Mathers
5252470,Eminem,The Marshall Mathers LP,5252470_C2,Ken Kaniff (Skit)
5252470,Eminem,The Marshall Mathers LP,5252470_C3,Drug Ballad
5252470,Eminem,The Marshall Mathers LP,5252470_C4,Amityville
5252470,Eminem,The Marshall Mathers LP,5252470_C5,B**** Please II
5252470,Eminem,The Marshall Mathers LP,5252470_D1,Kim
5252470,Eminem,The Marshall Mathers LP,5252470_D2,Under The Influence
5252470,Eminem,The Marshall Mathers LP,5252470_D3,Criminal
18669670,Eminem,Music To Be Murdered By (Side B),18669670_A1,Premonition (Intro)
18669670,Eminem,Music To Be Murdered By (Side B),18669670_A2,Unaccommodating 
18669670,Eminem,Music To Be Murdered By (Side B),18669670_A4,Alfred (Interlude)
18669670,Eminem,Music To Be Murdered By (Side B),18669670_A5,Those Kinda Nights
