,album_id,artist,album,track_id,title,spotify_id
585,2478369,No Artist,Bruits D'Eau Et Phénomènes Atmosphériques,2478369_B3,Rivières À Fort Courant,
586,2478369,No Artist,Bruits D'Eau Et Phénomènes Atmosphériques,2478369_B9,Personne Prenant Son Bain Dans Une Baignoire,
587,2478369,No Artist,Bruits D'Eau Et Phénomènes Atmosphériques,2478369_B10,Personne Sortant De La Baignoire,
588,2478369,No Artist,Bruits D'Eau Et Phénomènes Atmosphériques,2478369_B11,Bruits De Vidange,
589,2478369,No Artist,Bruits D'Eau Et Phénomènes Atmosphériques,2478369_B12,Clapotis Et Remous De Petites Vagues Sur Le Rivage,
590,2478369,No Artist,Bruits D'Eau Et Phénomènes Atmosphériques,2478369_B14,Petit Torrent Bouillonnant,
593,14482048,Jeff Mills,The Director's Cut Chapter 6,14482048_B2,The Homosapien Sapiens,
597,10112994,Notorious B.I.G.,Life After Death,10112994_B1,#!*@ You Tonight,
598,10112994,Notorious B.I.G.,Life After Death,10112994_B2,Last Day,
599,10112994,Notorious B.I.G.,Life After Death,10112994_B3,I Love The Dough,
601,10112994,Notorious B.I.G.,Life After Death,10112994_C2,Mo Money Mo Problems,
603,10112994,Notorious B.I.G.,Life After Death,10112994_C4,I Gotta Story To Tell,
611,10112994,Notorious B.I.G.,Life After Death,10112994_F1,The World Is Filled...,
612,10112994,Notorious B.I.G.,Life After Death,10112994_F2,My Downfall,
640,6443293,Jacques Brel,8 - Ne Me Quitte Pas,6443293_A2,Mareike,
651,2571424,Jacques Brel,Brel,2571424_A5,Les F...,
680,7939002,Noir Désir,Tostaky,7939002_B5,It Spurs,
682,11870158,Catl.,Bide My Time Until I Die...With An Angel On My Shoulder Lookin' Down From Up High,11870158_A1,Drive,
683,11870158,Catl.,Bide My Time Until I Die...With An Angel On My Shoulder Lookin' Down From Up High,11870158_A2,"Baby, You All Wrong",
685,11870158,Catl.,Bide My Time Until I Die...With An Angel On My Shoulder Lookin' Down From Up High,11870158_A4,Superfly Lady,
686,11870158,Catl.,Bide My Time Until I Die...With An Angel On My Shoulder Lookin' Down From Up High,11870158_A5,Sundown And Slow,
687,11870158,Catl.,Bide My Time Until I Die...With An Angel On My Shoulder Lookin' Down From Up High,11870158_B1,Do The Monkey Rat,
688,11870158,Catl.,Bide My Time Until I Die...With An Angel On My Shoulder Lookin' Down From Up High,11870158_B2,Misunderstand,
689,11870158,Catl.,Bide My Time Until I Die...With An Angel On My Shoulder Lookin' Down From Up High,11870158_B3,Hot Baked Cornbread And Spice,
690,11870158,Catl.,Bide My Time Until I Die...With An Angel On My Shoulder Lookin' Down From Up High,11870158_B5,Keys To The Kingdom,
770,1560796,Mr. Oizo,Lambs Anger,1560796_C3,Erreur Jean,
776,1460824,Timbaland & Magoo,Under Construction Part II,1460824_A1,Intro / Straight Outta Virginia,
777,1460824,Timbaland & Magoo,Under Construction Part II,1460824_A2,Cop That Shit,
778,1460824,Timbaland & Magoo,Under Construction Part II,1460824_A3,Shenanigans,
779,1460824,Timbaland & Magoo,Under Construction Part II,1460824_B3,Indian Flute,
781,1460824,Timbaland & Magoo,Under Construction Part II,1460824_C1,Naughty Eye,
784,1460824,Timbaland & Magoo,Under Construction Part II,1460824_C4,Insane,
786,1460824,Timbaland & Magoo,Under Construction Part II,1460824_D2,Hold Kutz,
795,23666705,Arnaud Rebotini,Music Components,23666705_D1,Decade Of Aggression,
797,27555195,Arnaud Rebotini,Youth!,27555195_A1,Youth.,
813,1083684,James Holden,A Break In The Clouds,1083684_A2,A Break In The Clouds (Fluffapella),
817,465692,Extrawelt,Soopertrack / Zu Fuss,465692_A2,Sooperfool Tool,
820,679554,Luke's Anger,Dead Like Elvis,679554_A1,Dead Like Elvis,
821,679554,Luke's Anger,Dead Like Elvis,679554_A2,Jerk Chicken,
822,679554,Luke's Anger,Dead Like Elvis,679554_B1,Yo Ass,
823,679554,Luke's Anger,Dead Like Elvis,679554_B2,Half Step,
830,664768,I-Robots,Frau,664768_A1,Frau (Boysnoize Remix),
832,664768,I-Robots,Frau,664768_B1,Frau (Kid Alex Minimal To Disco Mix),
833,664768,I-Robots,Frau,664768_B2,Frau (Accapella),
835,3315662,Boys Noize,The Remixes 2004-2011,3315662_A2,Personal Jesus (Boys Noize Rework),
836,3315662,Boys Noize,The Remixes 2004-2011,3315662_B1,Focker (Boys Noize Terror Re-Did),
837,3315662,Boys Noize,The Remixes 2004-2011,3315662_B2,Hot-N-Fun (Boys Noize Remix),
838,3315662,Boys Noize,The Remixes 2004-2011,3315662_B3,Sexual Eruption (Boys Noize Remix),
839,3315662,Boys Noize,The Remixes 2004-2011,3315662_C1,End Of Line (Boys Noize Remix),
840,3315662,Boys Noize,The Remixes 2004-2011,3315662_C2,Trick Pony (Boys Noize Remix),
841,3315662,Boys Noize,The Remixes 2004-2011,3315662_C3,Good Day Today (Boys Noize Remix),
842,3315662,Boys Noize,The Remixes 2004-2011,3315662_D1,Phantom Pt. II (Boys Noize Unreleased Turbine Remix),
843,3315662,Boys Noize,The Remixes 2004-2011,3315662_D2,Arcadia (Boys Noize Reprise),
852,971501,Paul Kalkbrenner,Altes Kamuffel / Ick Muss Aus Dit Milieu Heraus,971501_B,Ick Muss Aus Dit Milieu Heraus,
866,2830571,Michael Henderson,In The Night-Time,2830571_B3,"Yours Truly, Indiscreetly",
875,15395454,Caravan Palace,Caravan Palace,15395454_C2,Brother Swing,
