,album_id,artist,album,track_id,title,spotify_id
55,14883419,Ausgang,Gangrene,14883419_B3,Crapule,6WKtTZRlVfgemg49r2ZdZA
56,14883419,Ausgang,Gangrene,14883419_C1,Aidez-Moi,1he7D4M3QyvceOCLOgaIdo
57,14883419,Ausgang,Gangrene,14883419_C2,Ma Complice,59S1GyBFpXxoLZCLvKsX0v
58,14883419,Ausgang,Gangrene,14883419_C3,Elite,068oY4rt6Dwf4g2IQeyUBw
59,14883419,Ausgang,Gangrene,14883419_D2,Batard,0t8wMDbDmb1dbyqynENJKd
60,1449729,L.T.D.,Shine On,1449729_A1,You Gave Me Love,6GmMHnooOyyUQMFCESdr4N
61,1449729,L.T.D.,Shine On,1449729_A2,Where Did We Go Wrong,65E003YDvOfow75UKALZZG
62,1449729,L.T.D.,Shine On,1449729_A3,Getaway,1G1qqxtlutWnjKZhhdC8Vx
63,1449729,L.T.D.,Shine On,1449729_A4,Will Love Grow,5EnRixsJYqq25O2ucQuh6H
64,1449729,L.T.D.,Shine On,1449729_B1,Love Is What You Need,7vvtZNcqqdYYCDF3xTKxzB
65,1449729,L.T.D.,Shine On,1449729_B2,Shine On,5v8irwdQBDgs4ti2krEvQE
66,1449729,L.T.D.,Shine On,1449729_B3,Lovers Everywhere,39rmvNymWBx6H4t0JXxR7x
67,1449729,L.T.D.,Shine On,1449729_B4,Lady Love,5W5Y3bSiMXZYoKIOqk7cUB
68,8383822,Quincy Jones,The Dude,8383822_A1,Ai No Corrida,0SzAKZYTUvDLqlPgllEb3N
69,8383822,Quincy Jones,The Dude,8383822_A2,The Dude,0YeMZY4x8FbVIvFmaphMp6
70,8383822,Quincy Jones,The Dude,8383822_A3,Just Once,62YP3NEB4FVPJ90XcgJQKS
71,8383822,Quincy Jones,The Dude,8383822_B1,Something Special,6C1WGhMEFYL1M0ERmfzUI7
72,8383822,Quincy Jones,The Dude,8383822_B2,Razzamatazz,3QVrHveKwEblqYStYJbNop
73,8383822,Quincy Jones,The Dude,8383822_B3,One Hundred Ways,0Yp603BgzIKDDcSUBrYYba
74,8383822,Quincy Jones,The Dude,8383822_B4,Velas,5N85KoYje6CK7OhtdCkNTA
75,8383822,Quincy Jones,The Dude,8383822_B5,Turn On The Action,30kTlqX4Kx2I7rQtqtPsSU
76,1267938,The Dramatics,Any Time Any Place,1267938_A1,I Just Wanna Dance With You,2GQvfGGDcknBp7GuPhPOek
84,7685872,Dr. Dre,Compton (A Soundtrack By Dr. Dre),7685872_A1,Intro,1uftnTuei3ckZpNZxHKgRJ
85,7685872,Dr. Dre,Compton (A Soundtrack By Dr. Dre),7685872_A2,Talk About It,44uZZ2tn0ucKwFrqJdhLTE
86,7685872,Dr. Dre,Compton (A Soundtrack By Dr. Dre),7685872_A3,Genocide,7GW98M7bhqIqLGpxxStZWP
87,7685872,Dr. Dre,Compton (A Soundtrack By Dr. Dre),7685872_A4,It’s All On Me,57KXAlfzVwxhBtHkvMatrd
88,7685872,Dr. Dre,Compton (A Soundtrack By Dr. Dre),7685872_B5,All In A Day’s Work,53RG6rDqEvGDsZ0Ijr3ur1
89,7685872,Dr. Dre,Compton (A Soundtrack By Dr. Dre),7685872_B6,Darkside Gone,5ZEdSY99Mj5U4MIF97EKER
90,7685872,Dr. Dre,Compton (A Soundtrack By Dr. Dre),7685872_B7,Loose Cannons,5Pkik37ckb0NKfsxkVH5Ky
91,7685872,Dr. Dre,Compton (A Soundtrack By Dr. Dre),7685872_B8,Issues,1658HFZEblbVdqU1VBPqDO
92,7685872,Dr. Dre,Compton (A Soundtrack By Dr. Dre),7685872_C9,Deep Water,7LUOpegdxmYkaHjJXdHuZ3
93,7685872,Dr. Dre,Compton (A Soundtrack By Dr. Dre),7685872_C10,One Shot One Kill,34jHDKV7cNwRLl2NU1zPJq
94,7685872,Dr. Dre,Compton (A Soundtrack By Dr. Dre),7685872_C11,Just Another Day,2LQTHb4rEtKpxQgeqdesmc
95,7685872,Dr. Dre,Compton (A Soundtrack By Dr. Dre),7685872_C12,For The Love Of Money,1pk4C9uzUEiraK51CS2xyz
96,7685872,Dr. Dre,Compton (A Soundtrack By Dr. Dre),7685872_D13,Satisfiction,4EhfGgpcTjxRaRVCsEP9lO
97,7685872,Dr. Dre,Compton (A Soundtrack By Dr. Dre),7685872_D14,Animals,6EOu0P4RPxZZB8QNeYrvs2
98,7685872,Dr. Dre,Compton (A Soundtrack By Dr. Dre),7685872_D15,Medicine Man,3hZnp7n8WI3UnnURw1i1DF
99,7685872,Dr. Dre,Compton (A Soundtrack By Dr. Dre),7685872_D16,Talking To My Diary,7KZs2C1UGjrIfVXXuvtb20
100,2955328,Dr. Dre,2001,2955328_A1,Lolo (Intro),0GQQzmMNA7JE4tOdcSFh1C
